ClimateZoneAnd,MAT,PET_MAP
cold temperate,1.7791668176651,2.3613861386138613
cold temperate,1.83333337306976,2.255421686746988
warm temperate,12,0.8975
cold temperate,9.2,1.2114537444933922
arid,16.658332824707,4.9137577002053385
cold temperate,8.2,0.8790534618755478
cold temperate,6.8,1.611842105263158
cold temperate,6.8,1.6101973684210529
cold temperate,6.42916679382324,1.2493702770780857
cold temperate,13,1.325940212150434
cold temperate,7.3,0.7353846153846154
cold temperate,5.4,1.5076660988074957
cold temperate,7.91249990463257,1.1286210892236386
tropical,25,0.8632768361581921
tropical,25,0.8491525423728814
tropical,25,0.8587570621468926
tropical,25,0.844632768361582
tropical,25,0.8649717514124293
tropical,25,0.8508474576271187
tropical,25,0.8717514124293785
tropical,25,0.8598870056497175
tropical,25.2000007629395,0.8468926553672317
tropical,24.9333324432373,0.8598870056497175
tropical,24.9874992370605,0.8491525423728814
tropical,25.1124992370605,0.8576271186440678
cold temperate,12.1,1.2736520854526958
warm temperate,17.6,1.1224489795918366
warm temperate,13.1,0.9418181818181818
arid,15.7,8.682656826568266
cold temperate,12.7,1.828235294117647
cold temperate,12.4,1.7747126436781608
arid,10.1,5.6269592476489025
cold temperate,5.9,2.7921225382932167
warm temperate,20.9,1.251920122887865
cold temperate,11.6,1.0941385435168738
warm temperate,13.6,1.25953488372093
arid,19.3,7.346820809248555
arid,9.7,3.965357967667437
cold temperate,4.8,1.141781681304893
warm temperate,8.1,1.028301886792453
cold temperate,5.92916679382324,0.8024691358024691
cold temperate,7.6,1.3379571248423707
cold temperate,9.5,1.3640718562874252
cold temperate,6.2,1.8117088607594936
cold temperate,12.4,0.9898305084745764
cold temperate,8.6,1.315989847715736
tropical,25.4291667938232,0.7598402738163149
warm temperate,20.6458339691162,0.9198998748435544
warm temperate,20.779167175293,1.0909090909090908
tropical,26.0874996185303,0.5371329879101899
tropical,23.5541667938232,0.7061752988047809
tropical,25.2000007629395,0.6287249633610161
tropical,24.779167175293,0.7490431930016402
tropical,24.779167175293,0.743995633187773
cold temperate,4.02,1.1385006353240152
warm temperate,14.6499996185303,1.7007481296758105
warm temperate,11.5,1.384
warm temperate,13.3,1.7585858585858587
cold temperate,6.5,1.0186567164179106
warm temperate,8.3,1.2704347826086957
warm temperate,11.1,2.142857142857143
warm temperate,7.2,1.537037037037037
warm temperate,9.1,1.7613861386138614
warm temperate,16,1.2726495726495726
cold temperate,5.59166669845581,0.5648
tropical,22.5541667938232,1.0336927223719676
tropical,26,0.7125333333333334
tropical,26,0.5374545454545454
tropical,26,0.5370909090909091
tropical,27.5,0.9735384615384616
warm temperate,15.0625,2.3201970443349755
warm temperate,16.9416675567627,3.09
warm temperate,17.1958332061768,3.1417004048582995
warm temperate,14.9,3.520642201834862
warm temperate,14.9,3.580275229357798
warm temperate,14.1,0.9428044280442804
warm temperate,14.1,0.9455719557195572
warm temperate,14.1,0.9492619926199262
arid,16.1,16.850574712643677
cold temperate,-1.26249992847443,1.4794238683127572
cold temperate,-2.37916660308838,1.6447058823529412
cold temperate,-5.32499980926514,1.2717842323651452
cold temperate,-7.83750009536743,1.0018382352941178
cold temperate,-7.95833349227905,1.0699029126213593
cold temperate,-8.78750038146973,1.1182572614107884
cold temperate,5.3,0.6094827586206897
tropical,25.49,0.44509731913330886
cold temperate,5.7,0.5942857142857143
warm temperate,9.12083339691162,1.4706666666666666
cold temperate,8.4,0.8738938053097345
tropical,25,0.621904761904762
tropical,25,0.6342857142857142
warm temperate,14,0.5645
warm temperate,16,0.5784
warm temperate,16,0.5064
warm temperate,16,0.5292
cold temperate,6.4,1.907692307692308
cold temperate,5.3,2.3069767441860467
warm temperate,15,3.668421052631579
cold temperate,3.9,1.2913385826771653
warm temperate,16.7,6.642424242424243
warm temperate,9.1,1.812871287128713
warm temperate,10.6,0.75893536121673
warm temperate,10.6,0.7490494296577946
cold temperate,-3.2,1.4039215686274509
cold temperate,-3.2,1.4098039215686275
cold temperate,5.3,0.4035747883349013
cold temperate,4.7,0.7944969905417025
warm temperate,9.4,1.0187304890738813
cold temperate,7.6,0.8227513227513228
cold temperate,1.3,0.8715277777777778
warm temperate,12.5,1.0057142857142858
cold temperate,2,0.7642857142857142
cold temperate,8.8,0.8907905460472698
cold temperate,4.36666679382324,0.9988249118683902
warm temperate,13.4,2.2144444444444447
warm temperate,16,0.5448979591836735
cold temperate,7.4,0.8398665554628857
warm temperate,10,0.4263565891472868
cold temperate,8,1.1962962962962962
arid,13.2749996185303,4.52542372881356
cold temperate,-3,2.0295081967213116
warm temperate,18.1,1.1075036075036075
warm temperate,12,1.013855421686747
warm temperate,12,1.0150602409638554
warm temperate,16,0.6068181818181818
cold temperate,6.2,0.7215094339622642
cold temperate,9.27499961853027,2.168
cold temperate,11.0249996185303,1.9075342465753424
warm temperate,16,0.4730909090909091
warm temperate,12.5,0.947576099210823
arid,19.3708324432373,3.545614035087719
warm temperate,14.2874994277954,2.3246153846153845
tropical,23.5541667938232,0.240852314474651
warm temperate,16.1749992370605,2.463667820069204
warm temperate,14.6750001907349,1.9079320113314449
warm temperate,15.3083333969116,1.8847222222222224
warm temperate,21.9500007629395,0.7366020524515393
cold temperate,10.2458333969116,1.9686924493554327
warm temperate,19.4791660308838,3.1847246891651864
arid,19.3125,6.7322033898305085
warm temperate,12.6000003814697,2.2035398230088497
warm temperate,20.3624992370605,4.466357308584687
warm temperate,15.6416664123535,2.0298295454545454
warm temperate,21.2416667938232,0.7103794642857143
cold temperate,8.05000019073486,1.0575
cold temperate,11.8249998092651,2.0088652482269502
cold temperate,4.57499980926514,0.6829085457271364
warm temperate,22,3.4814126394052045
warm temperate,12.5291662216187,2.197879858657244
cold temperate,2.7,2.0728476821192054
tropical,25.8833332061768,0.5719473445301861
warm temperate,22,3.651072124756335
warm temperate,12.0166664123535,2.0761245674740483
warm temperate,12.3249998092651,2.1219931271477663
warm temperate,19.5166664123535,3.6272189349112423
tropical,25.0708332061768,0.9648692810457516
warm temperate,9.48750019073486,1.0373711340206186
cold temperate,11.1499996185303,1.8981001727115716
cold temperate,11.9208335876465,2.0306306306306308
warm temperate,18.5499992370605,4.171247357293869
warm temperate,16.5750007629395,2.432475884244373
warm temperate,16,0.2584158415841584
warm temperate,19.5249996185303,3.5616438356164384
